city_address,region_city
Cherkasy,Черкаська обл.
Chernihiv,Чернігівська обл.
Chernivtsi,Чернівецька обл.
Dnipro,Дніпропетровська обл.
Donetsk,Донецька обл.
Ivano-Frankivsk,Івано-Франківська обл.
Kharkiv,Харківська обл.
Kherson,Херсонська обл.
Khmelnytskyi,Хмельницька обл.
Kropyvnytskyi,Кіровоградська обл.
Kyiv,Київ
Lutsk,Волинська обл.
Lviv,Львівська обл.
Mykolaiv,Миколаївська обл.
Odesa,Одеська обл.
Poltava,Полтавська обл.
Rivne,Рівненська обл.
Sumy,Сумська обл.
Ternopil,Тернопільська обл.
Uzhgorod,Закарпатська обл.
Vinnytsia,Вінницька обл.
Zaporozhye,Запорізька обл.
Zhytomyr,Житомирська обл.
Kyiv oblast,Київська обл.
